codec,options,input_size,output_size,evaluation_result,elapsed_time,crf,speed
vp8,"{'crf': 15, 'speed': 4, 'threads': 2}",1842030,1911505,30.49252,16.163413286209106,15,4
vp8,"{'crf': 15, 'speed': 2, 'threads': 2}",1842030,749977,32.160616,43.57584261894226,15,2
vp8,"{'crf': 30, 'speed': 4, 'threads': 2}",1842030,1911505,30.49252,15.600346565246582,30,4
vp8,"{'crf': 30, 'speed': 2, 'threads': 2}",1842030,749977,32.160616,45.65468406677246,30,2
vp8,"{'crf': 50, 'speed': 4, 'threads': 2}",1842030,1911505,30.49252,14.905853986740112,50,4
vp8,"{'crf': 50, 'speed': 2, 'threads': 2}",1842030,743564,32.135304,44.200587034225464,50,2
vp8,"{'crf': 15, 'speed': 4, 'threads': 2}",1471437,1778665,30.4512,14.582265377044678,15,4
vp8,"{'crf': 15, 'speed': 2, 'threads': 2}",1471437,691894,31.916114,49.724072217941284,15,2
vp8,"{'crf': 30, 'speed': 4, 'threads': 2}",1471437,1778665,30.4512,14.623292684555054,30,4
vp8,"{'crf': 30, 'speed': 2, 'threads': 2}",1471437,691894,31.916114,50.38026309013367,30,2
vp8,"{'crf': 50, 'speed': 4, 'threads': 2}",1471437,1778665,30.4512,14.468737125396729,50,4
vp8,"{'crf': 50, 'speed': 2, 'threads': 2}",1471437,693217,31.926001,46.1853346824646,50,2
vp8,"{'crf': 15, 'speed': 4, 'threads': 2}",1364251,1753863,30.589621,14.377110242843628,15,4
vp8,"{'crf': 15, 'speed': 2, 'threads': 2}",1364251,611663,32.117614,48.41310715675354,15,2
vp8,"{'crf': 30, 'speed': 4, 'threads': 2}",1364251,1753863,30.589621,14.334309339523315,30,4
vp8,"{'crf': 30, 'speed': 2, 'threads': 2}",1364251,611663,32.117614,48.481321811676025,30,2
vp8,"{'crf': 50, 'speed': 4, 'threads': 2}",1364251,1753863,30.589621,14.502641916275024,50,4
vp8,"{'crf': 50, 'speed': 2, 'threads': 2}",1364251,607509,32.103204,45.77713990211487,50,2
